initialization done
Initialization took 210.70384899999993 milliseconds
Edge from 103 to 95
Edge from 103 to 96
Edge from 103 to 97
Edge from 103 to 98
Edge from 103 to 99
Edge from 103 to 100
Edge from 103 to 101
Edge from 103 to 102
Edge from 104 to 91
Edge from 104 to 92
Edge from 104 to 93
Edge from 104 to 94
Edge from 104 to 95
Edge from 104 to 96
Edge from 104 to 97
Edge from 104 to 98
Edge from 104 to 99
Edge from 104 to 100
Edge from 104 to 101
Edge from 104 to 103
Edge from 105 to 104
Edge from 106 to 90
Edge from 106 to 91
Edge from 106 to 104
Edge from 106 to 105
Edge from 106 to 107
Edge from 106 to 108
Edge from 106 to 109
Edge from 108 to 107
Edge from 109 to 108
Edge from 110 to 89
Edge from 110 to 90
Edge from 110 to 91
Edge from 110 to 92
Edge from 110 to 93
Edge from 110 to 104
Edge from 110 to 105
Edge from 110 to 106
Edge from 110 to 107
Edge from 110 to 108
Edge from 110 to 109
Edge from 110 to 111
Edge from 112 to 89
Edge from 112 to 90
Edge from 112 to 91
Edge from 112 to 92
Edge from 112 to 93
Edge from 112 to 104
Edge from 112 to 105
Edge from 112 to 106
Edge from 112 to 110
Edge from 112 to 111
Edge from 113 to 88
Edge from 113 to 89
Edge from 113 to 90
Edge from 113 to 91
Edge from 113 to 92
Edge from 113 to 93
Edge from 113 to 94
Edge from 113 to 104
Edge from 113 to 105
Edge from 113 to 106
Edge from 113 to 107
Edge from 113 to 110
Edge from 113 to 111
Edge from 113 to 112
Edge from 113 to 114
Edge from 113 to 115
Edge from 114 to 115
Edge from 115 to 116
Edge from 115 to 117
Edge from 116 to 117
Edge from 117 to 118
Edge from 117 to 124
Edge from 117 to 125
Edge from 117 to 127
Edge from 117 to 128
Edge from 117 to 129
Edge from 117 to 130
Edge from 117 to 131
Edge from 117 to 132
Edge from 118 to 119
Edge from 118 to 120
Edge from 118 to 121
Edge from 118 to 122
Edge from 118 to 123
Edge from 118 to 124
Edge from 118 to 125
Edge from 118 to 127
Edge from 118 to 128
Edge from 118 to 129
Edge from 118 to 130
Edge from 118 to 131
Edge from 118 to 132
Edge from 119 to 120
Edge from 119 to 121
Edge from 119 to 122
Edge from 119 to 123
Edge from 119 to 124
Edge from 119 to 125
Edge from 119 to 127
Edge from 119 to 129
Edge from 119 to 131
Edge from 119 to 132
Edge from 120 to 121
Edge from 120 to 124
Edge from 120 to 125
Edge from 120 to 127
Edge from 120 to 129
Edge from 120 to 131
Edge from 121 to 122
Edge from 121 to 123
Edge from 121 to 124
Edge from 121 to 125
Edge from 121 to 127
Edge from 121 to 129
Edge from 121 to 131
Edge from 122 to 123
Edge from 122 to 124
Edge from 122 to 131
Edge from 123 to 124
Edge from 124 to 125
Edge from 124 to 127
Edge from 124 to 129
Edge from 124 to 131
Edge from 125 to 126
Edge from 125 to 127
Edge from 125 to 129
Edge from 125 to 131
Edge from 126 to 127
Edge from 126 to 129
Edge from 127 to 128
Edge from 127 to 129
Edge from 128 to 129
Edge from 129 to 130
Edge from 129 to 131
Edge from 130 to 131
Edge from 131 to 132
Edge from 132 to 134
Edge from 132 to 139
Edge from 132 to 140
Edge from 133 to 134
Edge from 133 to 132
Edge from 134 to 138
Edge from 134 to 139
Edge from 134 to 140
Edge from 135 to 137
Edge from 135 to 138
Edge from 135 to 139
Edge from 135 to 140
Edge from 135 to 134
Edge from 136 to 137
Edge from 136 to 138
Edge from 136 to 140
Edge from 136 to 135
Edge from 137 to 138
Edge from 137 to 134
Edge from 138 to 139
Edge from 138 to 140
Edge from 139 to 140
Edge from 140 to 141
Edge from 140 to 144
Edge from 141 to 142
Edge from 141 to 143
Edge from 141 to 144
Edge from 142 to 143
Edge from 142 to 144
Edge from 143 to 144
Edge from 144 to 145
Edge from 145 to 148
Edge from 145 to 149
Edge from 145 to 150
Edge from 145 to 161
Edge from 145 to 162
Edge from 145 to 163
Edge from 145 to 164
Edge from 145 to 170
Edge from 145 to 171
Edge from 145 to 172
Edge from 145 to 174
Edge from 146 to 147
Edge from 146 to 145
Edge from 147 to 148
Edge from 147 to 149
Edge from 147 to 163
Edge from 147 to 164
Edge from 147 to 171
Edge from 147 to 172
